appname,type,path,regex
Xumo,Installation Timestamp,com.xumo.xumo.tv/r/app_webview/pref_store,(?<!\d)\d{10}(?!\d)
YouTube,User Email,com.google.android.youtube.tv/sp/youtube.xml,[a-zA-Z0-9_.+-]+@[a-zA-Z0-9-]+\.[a-zA-Z0-9-.]+
Zen Pinball,Last Close Timestamp,com.zenstudios.ZenPinball/sp/com.google.android.gms.appid.xml,(?<!\d)\d{10}(?!\d)
Zen Pinball,Last Run Timestamp,com.zenstudios.ZenPinball/sp/com.google.android.gms.measurement.prefs.xml,(?<!\d)\d{13}(?!\d)
Zen Pinball,Last Run Timestamp,com.zenstudios.ZenPinball/sp/FLURRY_SHARED_PREFERENCES.xml,(?<!\d)\d{13}(?!\d)
Zen Pinball,User Email,com.zenstudios.ZenPinball/sp/UserAccount.xml,[a-zA-Z0-9_.+-]+@[a-zA-Z0-9-]+\.[a-zA-Z0-9-.]+
TVWeb,Login Timestamp,jp.co.rarity.tvweb/sp/MainActivity.xml,"[\n\r].*""login_time"">\s*([^\n\r]*)"
TVWeb,Links Visited + Timestamp,jp.co.rarity.tvweb/sp/MainActivity.xml,\{(.*?)\}
TVWeb,Last Close Timestamp,jp.co.rarity.tvweb/sp/admob.xml,"[\n\r].*""app_last_background_time_ms"" value=""\s*([^\n\r]*)"
TVWeb,Last Run Timestamp,jp.co.rarity.tvweb/sp/admob.xml,"[\n\r].*=""first_ad_req_time_ms"" value=""\s*([^\n\r]*)"
TVWeb,Initial Run Timestamp,jp.co.rarity.tvweb/sp/com.google.android.gms.measurement.prefs.xml,"[\n\r].*""first_open_time"" value=""\s*([^\n\r]*)"
TVWeb,Last Pause Timestamp,jp.co.rarity.tvweb/sp/com.google.android.gms.measurement.prefs.xml,"[\n\r].*""last_pause_time"" value=""\s*([^\n\r]*)"
TVWeb,Last Close Timestamp,jp.co.rarity.tvweb/sp/com.google.android.gms.measurement.prefs.xml,"[\n\r].*""last_upload"" value=""\s*([^\n\r]*)"
TVWeb,Links Visited,jp.co.rarity.tvweb/r/app_webview/Default/Session Storage/000003.log,"(https?:\/\/(?:www\.|(?!www))[a-zA-Z0-9][a-zA-Z0-9-]+[a-zA-Z0-9]\.[^\s]{2,}|www\.[a-zA-Z0-9][a-zA-Z0-9-]+[a-zA-Z0-9]\.[^\s]{2,}|https?:\/\/(?:www\.|(?!www))[a-zA-Z0-9]+\.[^\s]{2,}|www\.[a-zA-Z0-9]+\.[^\s]{2,})"
TVWeb,Links Visited,jp.co.rarity.tvweb/r/app_webview/Default/Local Storage/leveldb/000003.log,"(https?:\/\/(?:www\.|(?!www))[a-zA-Z0-9][a-zA-Z0-9-]+[a-zA-Z0-9]\.[^\s]{2,}|www\.[a-zA-Z0-9][a-zA-Z0-9-]+[a-zA-Z0-9]\.[^\s]{2,}|https?:\/\/(?:www\.|(?!www))[a-zA-Z0-9]+\.[^\s]{2,}|www\.[a-zA-Z0-9]+\.[^\s]{2,})"
